,arr_time,exit_time,origin,total,exit_time_binned,destination
388,508,550,Colliers Wood,1,16,513
389,422,452,Colliers Wood,1,10,513
390,440,471,Colliers Wood,1,11,513
391,486,526,Colliers Wood,1,15,644
392,529,565,Colliers Wood,1,17,513
393,429,468,Colliers Wood,1,11,513
394,484,520,Colliers Wood,1,14,513
395,491,532,Colliers Wood,1,15,644
396,435,468,Colliers Wood,1,11,644
397,434,475,Colliers Wood,1,11,513
398,460,493,Colliers Wood,1,12,644
399,473,509,Colliers Wood,1,13,513
400,504,547,Colliers Wood,1,16,513
401,512,553,Colliers Wood,1,16,513
402,549,582,Colliers Wood,1,18,513
403,445,480,Colliers Wood,1,11,513
404,455,488,Colliers Wood,1,12,513
405,482,523,Colliers Wood,1,14,513
406,614,648,Colliers Wood,1,23,513
407,454,487,Colliers Wood,1,12,513
408,487,527,Colliers Wood,1,15,644
409,477,516,Colliers Wood,1,14,644
410,606,639,Colliers Wood,1,22,513
411,491,531,Colliers Wood,1,15,513
412,540,574,Colliers Wood,1,18,644
413,415,446,Colliers Wood,1,9,513
414,491,533,Colliers Wood,1,15,513
415,494,535,Colliers Wood,1,15,513
416,401,436,Colliers Wood,1,9,513
417,466,502,Colliers Wood,1,13,644
418,511,551,Colliers Wood,1,16,513
419,477,514,Colliers Wood,1,14,644
420,683,716,Colliers Wood,1,27,513
421,491,531,Colliers Wood,1,15,513
422,480,521,Colliers Wood,1,14,513
423,458,491,Colliers Wood,1,12,644
424,511,551,Colliers Wood,1,16,513
425,395,428,Colliers Wood,1,8,513
426,502,545,Colliers Wood,1,16,513
427,533,567,Colliers Wood,1,17,644
428,432,467,Colliers Wood,1,11,513
429,360,393,Colliers Wood,1,6,513
430,503,546,Colliers Wood,1,16,644
431,498,539,Colliers Wood,1,15,644
432,498,540,Colliers Wood,1,15,513
433,403,437,Colliers Wood,1,9,513
434,454,489,Colliers Wood,1,12,513
435,468,506,Colliers Wood,1,13,513
436,511,551,Colliers Wood,1,16,513
437,463,504,Colliers Wood,1,13,513
438,435,470,Colliers Wood,1,11,513
439,463,496,Colliers Wood,1,13,644
440,494,534,Colliers Wood,1,15,513
441,506,547,Colliers Wood,1,16,513
442,544,581,Colliers Wood,1,18,513
443,316,346,Royal Victoria,1,3,513
444,316,346,Royal Victoria,1,3,513
445,367,407,Royal Victoria,1,7,513
446,431,454,Royal Victoria,1,10,513
447,472,495,Royal Victoria,1,12,644
448,491,521,Royal Victoria,1,14,513
449,479,506,Royal Victoria,1,13,513
450,498,529,Royal Victoria,1,15,513
451,511,536,Royal Victoria,1,15,644
452,526,551,Royal Victoria,1,16,513
453,536,558,Royal Victoria,1,17,513
454,543,567,Royal Victoria,1,17,513
455,546,577,Royal Victoria,1,18,513
456,577,611,Royal Victoria,1,20,513
457,663,687,Royal Victoria,1,25,513
458,495,522,Royal Victoria,1,14,644
459,436,465,Royal Victoria,1,10,513
460,577,598,Royal Victoria,1,19,513
461,467,497,Royal Victoria,1,13,513
462,579,611,Royal Victoria,1,20,513
463,510,538,Royal Victoria,1,15,513
464,495,523,Royal Victoria,1,14,644
465,501,530,Royal Victoria,1,15,513
466,444,473,Royal Victoria,1,11,513
467,453,478,Royal Victoria,1,11,644
468,486,513,Royal Victoria,1,14,513
469,398,426,Royal Victoria,1,8,513
470,532,560,Royal Victoria,1,17,513
471,520,544,Royal Victoria,1,16,644
472,382,426,Royal Victoria,1,8,513
473,473,508,Royal Victoria,1,13,513
474,618,649,Royal Victoria,1,23,513
475,496,523,Royal Victoria,1,14,644
476,405,439,Royal Victoria,1,9,513
477,486,513,Royal Victoria,1,14,513
478,511,536,Royal Victoria,1,15,644
479,501,533,Royal Victoria,1,15,513
480,509,535,Royal Victoria,1,15,513
481,519,546,Royal Victoria,1,16,513
482,467,495,Royal Victoria,1,12,644
483,526,551,Royal Victoria,1,16,513
484,521,552,Royal Victoria,1,16,513
485,473,505,Royal Victoria,1,13,513
486,483,515,Royal Victoria,1,14,513
487,591,619,Royal Victoria,1,21,513
488,389,425,Royal Victoria,1,8,513
489,589,620,Royal Victoria,1,21,513
490,505,537,Royal Victoria,1,15,513
491,531,559,Royal Victoria,1,17,513
492,351,382,Royal Victoria,1,5,513
493,504,531,Royal Victoria,1,15,513
494,549,577,Royal Victoria,1,18,644
495,510,538,Royal Victoria,1,15,513
496,314,341,Royal Victoria,1,2,513
497,520,544,Royal Victoria,1,16,644
498,550,579,Royal Victoria,1,18,513
499,413,439,Royal Victoria,1,9,513
500,472,496,Royal Victoria,1,13,644
501,665,687,Royal Victoria,1,25,513
502,515,544,Royal Victoria,1,16,513
503,590,619,Royal Victoria,1,21,513
504,316,346,Royal Victoria,1,3,513
505,407,440,Royal Victoria,1,9,644
506,317,348,Tooting Broadway,1,3,513
507,376,406,Tooting Broadway,1,7,513
508,376,407,Tooting Broadway,1,7,513
509,402,430,Tooting Broadway,1,8,513
510,415,443,Tooting Broadway,1,9,513
511,412,442,Tooting Broadway,1,9,513
512,426,457,Tooting Broadway,1,10,513
513,427,457,Tooting Broadway,1,10,644
514,431,462,Tooting Broadway,1,10,513
515,436,468,Tooting Broadway,1,11,644
516,439,469,Tooting Broadway,1,11,513
517,450,483,Tooting Broadway,1,12,644
518,450,483,Tooting Broadway,1,12,513
519,453,484,Tooting Broadway,1,12,513
520,450,484,Tooting Broadway,1,12,513
521,454,485,Tooting Broadway,1,12,513
522,461,492,Tooting Broadway,1,12,513
523,459,493,Tooting Broadway,1,12,644
524,464,495,Tooting Broadway,1,12,513
525,465,503,Tooting Broadway,1,13,644
526,469,504,Tooting Broadway,1,13,513
527,472,504,Tooting Broadway,1,13,513
528,471,506,Tooting Broadway,1,13,513
529,471,507,Tooting Broadway,1,13,513
530,469,503,Tooting Broadway,1,13,513
531,466,511,Tooting Broadway,1,14,513
532,475,510,Tooting Broadway,1,13,513
533,473,515,Tooting Broadway,1,14,513
534,480,512,Tooting Broadway,1,14,513
535,479,514,Tooting Broadway,1,14,513
536,481,516,Tooting Broadway,1,14,513
537,479,517,Tooting Broadway,1,14,513
538,480,516,Tooting Broadway,1,14,644
539,483,519,Tooting Broadway,1,14,644
540,482,519,Tooting Broadway,1,14,644
541,489,522,Tooting Broadway,1,14,513
542,490,528,Tooting Broadway,1,15,513
543,492,527,Tooting Broadway,1,15,513
544,489,528,Tooting Broadway,1,15,513
545,482,531,Tooting Broadway,1,15,644
546,497,533,Tooting Broadway,1,15,513
547,500,537,Tooting Broadway,1,15,513
548,497,537,Tooting Broadway,1,15,513
549,500,540,Tooting Broadway,1,15,513
550,502,542,Tooting Broadway,1,16,513
551,502,542,Tooting Broadway,1,16,644
552,502,543,Tooting Broadway,1,16,513
553,501,545,Tooting Broadway,1,16,644
554,505,547,Tooting Broadway,1,16,513
555,507,547,Tooting Broadway,1,16,513
556,505,549,Tooting Broadway,1,16,513
557,507,550,Tooting Broadway,1,16,513
558,506,550,Tooting Broadway,1,16,513
559,505,553,Tooting Broadway,1,16,644
560,534,565,Tooting Broadway,1,17,513
561,534,565,Tooting Broadway,1,17,513
562,533,565,Tooting Broadway,1,17,513
563,547,581,Tooting Broadway,1,18,513
564,546,581,Tooting Broadway,1,18,644
565,549,583,Tooting Broadway,1,18,644
566,561,588,Tooting Broadway,1,19,513
567,565,595,Tooting Broadway,1,19,644
568,566,595,Tooting Broadway,1,19,644
569,589,620,Tooting Broadway,1,21,513
570,598,628,Tooting Broadway,1,21,513
571,611,641,Tooting Broadway,1,22,513
572,619,648,Tooting Broadway,1,23,513
573,653,681,Tooting Broadway,1,25,513
574,410,440,Tooting Broadway,1,9,513
575,487,540,Tooting Broadway,1,15,513
576,507,547,Tooting Broadway,1,16,513
577,491,526,Tooting Broadway,1,15,644
578,473,509,Tooting Broadway,1,13,513
579,475,510,Tooting Broadway,1,13,513
580,507,547,Tooting Broadway,1,16,644
581,412,441,Tooting Broadway,1,9,644
582,440,472,Tooting Broadway,1,11,644
583,469,504,Tooting Broadway,1,13,513
584,473,507,Tooting Broadway,1,13,644
585,481,516,Tooting Broadway,1,14,513
586,492,532,Tooting Broadway,1,15,644
587,319,348,Tooting Broadway,1,3,513
588,430,467,Tooting Broadway,1,11,644
589,489,527,Tooting Broadway,1,15,513
590,570,602,Tooting Broadway,1,20,513
591,461,493,Tooting Broadway,1,12,644
592,591,619,Tooting Broadway,1,21,513
593,469,503,Tooting Broadway,1,13,513
594,473,510,Tooting Broadway,1,13,513
595,477,511,Tooting Broadway,1,14,644
596,483,518,Tooting Broadway,1,14,644
597,548,580,Tooting Broadway,1,18,513
598,652,690,Tooting Broadway,1,25,513
599,490,527,Tooting Broadway,1,15,513
600,449,478,Tooting Broadway,1,11,513
601,414,443,Tooting Broadway,1,9,513
602,347,376,Tooting Broadway,1,5,513
603,479,514,Tooting Broadway,1,14,513
604,489,532,Tooting Broadway,1,15,644
605,511,552,Tooting Broadway,1,16,513
606,481,517,Tooting Broadway,1,14,513
607,627,660,Tooting Broadway,1,23,513
608,655,681,Tooting Broadway,1,25,513
609,410,440,Tooting Broadway,1,9,513
610,463,494,Tooting Broadway,1,12,513
611,499,537,Tooting Broadway,1,15,513
612,427,457,Tooting Broadway,1,10,644
613,582,611,Tooting Broadway,1,20,644
614,443,474,Tooting Broadway,1,11,513
615,472,512,Tooting Broadway,1,14,513
616,572,604,Tooting Broadway,1,20,513
617,460,491,Tooting Broadway,1,12,513
618,434,469,Tooting Broadway,1,11,513
619,463,493,Tooting Broadway,1,12,513
620,552,583,Tooting Broadway,1,18,513
621,488,523,Tooting Broadway,1,14,513
622,486,523,Tooting Broadway,1,14,513
623,491,527,Tooting Broadway,1,15,644
624,458,488,Tooting Broadway,1,12,644
625,366,397,Tooting Broadway,1,6,513
626,501,541,Tooting Broadway,1,16,513
627,677,709,Tooting Broadway,1,27,513
628,322,348,Tooting Broadway,1,3,513
629,376,406,Tooting Broadway,1,7,513
630,446,475,Tooting Broadway,1,11,513
631,518,559,Tooting Broadway,1,17,644
632,532,565,Tooting Broadway,1,17,513
633,491,527,Tooting Broadway,1,15,513
634,444,474,Tooting Broadway,1,11,513
635,453,484,Tooting Broadway,1,12,513
636,462,493,Tooting Broadway,1,12,513
637,466,502,Tooting Broadway,1,13,644
638,461,494,Tooting Broadway,1,12,513
639,557,589,Tooting Broadway,1,19,513
640,427,458,Tooting Broadway,1,10,644
641,467,504,Tooting Broadway,1,13,513
642,490,527,Tooting Broadway,1,15,644
643,504,546,Tooting Broadway,1,16,644
644,510,549,Tooting Broadway,1,16,513
645,502,552,Tooting Broadway,1,16,513
646,552,582,Tooting Broadway,1,18,513
647,457,488,Tooting Broadway,1,12,644
648,485,520,Tooting Broadway,1,14,513
649,513,551,Tooting Broadway,1,16,644
650,492,533,Tooting Broadway,1,15,513
651,539,569,Tooting Broadway,1,17,644
652,515,553,Tooting Broadway,1,16,644
653,505,546,Tooting Broadway,1,16,513
654,466,503,Tooting Broadway,1,13,513
655,504,546,Tooting Broadway,1,16,644
656,487,522,Tooting Broadway,1,14,644
657,570,604,Tooting Broadway,1,20,644
658,465,497,Tooting Broadway,1,13,513
659,509,547,Tooting Broadway,1,16,513
660,507,547,Tooting Broadway,1,16,644
661,498,539,Tooting Broadway,1,15,513
662,505,547,Tooting Broadway,1,16,644
663,612,645,Tooting Broadway,1,22,513
664,473,511,Tooting Broadway,1,14,513
665,542,575,Tooting Broadway,1,18,644
666,448,480,Tooting Broadway,1,11,513
667,444,475,Tooting Broadway,1,11,513
668,501,543,Tooting Broadway,1,16,644
669,493,532,Tooting Broadway,1,15,513
670,480,516,Tooting Broadway,1,14,644
671,637,668,Tooting Broadway,1,24,513
672,467,503,Tooting Broadway,1,13,513
673,476,510,Tooting Broadway,1,13,513
674,491,527,Tooting Broadway,1,15,513
675,499,539,Tooting Broadway,1,15,513
676,517,558,Tooting Broadway,1,17,644
677,528,563,Tooting Broadway,1,17,644
678,661,689,Tooting Broadway,1,25,513
679,472,509,Tooting Broadway,1,13,513
680,498,537,Tooting Broadway,1,15,513
681,483,520,Tooting Broadway,1,14,513
682,405,437,Tooting Broadway,1,9,513
683,447,479,Tooting Broadway,1,11,644
684,464,495,Tooting Broadway,1,12,513
685,466,503,Tooting Broadway,1,13,644
686,557,588,Tooting Broadway,1,19,513
687,436,467,Tooting Broadway,1,11,513
688,461,493,Tooting Broadway,1,12,513
689,504,545,Tooting Broadway,1,16,513
690,505,548,Tooting Broadway,1,16,513
691,396,425,Tooting Broadway,1,8,513
692,500,540,Tooting Broadway,1,15,513
693,504,544,Tooting Broadway,1,16,644
694,628,659,Tooting Broadway,1,23,513
695,651,681,Tooting Broadway,1,25,513
696,677,709,Tooting Broadway,1,27,513
697,455,488,Tooting Broadway,1,12,513
698,532,565,Tooting Broadway,1,17,513
699,387,419,Tooting Broadway,1,7,644
