exit_time_binned,origin,total
3,Kilburn Park,0.526315789474
3,King George V,0.184210526316
3,Kings Cross N,0.631578947368
3,Kings Cross T,0.236842105263
3,Kingsbury,0.289473684211
3,Kingston,0.394736842105
3,Kingswood,0.0263157894737
3,Ladbroke Grove,0.131578947368
3,Lambeth North,0.289473684211
3,Lancaster Gate,0.421052631579
3,Langdon Park,0.447368421053
3,Lewisham DLR,0.578947368421
3,Lewisham NR,0.0263157894737
3,Leyton,4.18421052632
3,Leytonstone,3.60526315789
3,Limehouse DLR,1.0
3,Liverpool Street,0.263157894737
3,London Bridge,0.184210526316
3,London City Airport,0.0526315789474
3,Loughton,2.05263157895
3,Maida Vale,0.0789473684211
3,Manor House,0.263157894737
3,Manor Park,0.210526315789
3,Marble Arch,0.473684210526
3,Mile End,0.710526315789
3,Mill Hill East,0.868421052632
3,Mitcham Eastfields,0.0526315789474
3,Monument,0.131578947368
3,Moor Park,0.447368421053
3,Morden,3.81578947368
3,Mornington Crescent,0.0526315789474
3,Mortlake,0.605263157895
3,Mudchute,0.447368421053
3,Neasden,0.447368421053
3,New Barnet,0.0526315789474
3,New Cross Gate,0.0789473684211
3,New Malden,0.421052631579
3,New Southgate,0.0263157894737
3,Newbury Park,2.36842105263
3,Norbiton,0.789473684211
3,Norbury,1.05263157895
3,North Acton,1.0
3,North Greenwich,0.605263157895
3,North Harrow,0.210526315789
3,North Wembley,0.315789473684
3,Northfields,0.263157894737
3,Northolt,2.89473684211
3,Northwick Park,0.0263157894737
3,Northwood,0.236842105263
3,Northwood Hills,0.157894736842
3,Norwood Junction SR,0.0526315789474
3,Notting Hill Gate,2.42105263158
3,Nunhead,0.105263157895
3,Oakwood,0.894736842105
3,Old Street,0.0789473684211
3,Orpington,0.0263157894737
3,Osterley,1.10526315789
3,Oval,0.236842105263
3,Oxford Circus,0.105263157895
3,Paddington,0.0526315789474
3,Palmers Green,0.368421052632
3,Parsons Green,0.315789473684
3,Perivale,0.236842105263
3,Pimlico,0.0526315789474
3,Plaistow,1.18421052632
